2024001001,张伟,stu001,计算机科学与技术,1,MATH001,78,CS001,85,CS002,92,3,85.00,0
2024001002,王芳,stu002,计算机科学与技术(师范),1,MATH001,92,CS001,88,CS002,76,3,85.33,0
2024001003,李娜,stu003,人工智能,1,MATH001,65,CS001,72,CS002,68,3,68.33,0
2024001004,刘洋,stu004,数字媒体,1,MATH001,85,CS001,79,CS002,91,3,85.00,0
2024001005,陈晨,stu005,计算机科学与技术,1,MATH001,58,CS001,63,CS002,55,3,58.67,0
2024001006,杨光,stu006,计算机科学与技术(师范),1,MATH001,76,CS001,82,CS002,74,3,77.33,0
2024001007,周雨,stu007,人工智能,1,MATH001,91,CS001,87,CS002,95,3,91.00,0
2024001008,吴天,stu008,数字媒体,1,MATH001,69,CS001,71,CS002,65,3,68.33,0
2024001009,郑好,stu009,计算机科学与技术,1,MATH001,83,CS001,77,CS002,89,3,83.00,0
2024001010,孙阳,stu010,计算机科学与技术(师范),1,MATH001,72,CS001,68,CS002,75,3,71.67,0
2024001011,朱琳,stu011,人工智能,1,MATH001,94,CS001,90,CS002,93,3,92.33,0
2024001012,胡月,stu012,数字媒体,1,MATH001,61,CS001,59,CS002,64,3,61.33,0
2024001013,林涛,stu013,计算机科学与技术,1,MATH001,87,CS001,84,CS002,91,3,87.33,0
2024001014,徐静,stu014,计算机科学与技术(师范),1,MATH001,79,CS001,76,CS002,82,3,79.00,0
2024001015,黄鑫,stu015,人工智能,1,MATH001,55,CS001,62,CS002,58,3,58.33,0
2024001016,赵明,stu016,数字媒体,1,MATH001,82,CS001,78,CS002,85,3,81.67,0
2024001017,高飞,stu017,计算机科学与技术,1,MATH001,68,CS001,73,CS002,70,3,70.33,0
2024001018,马超,stu018,计算机科学与技术(师范),1,MATH001,90,CS001,86,CS002,94,3,90.00,0
2024001019,谢芳,stu019,人工智能,1,MATH001,77,CS001,74,CS002,79,3,76.67,0
2024001020,董洁,stu020,数字媒体,1,MATH001,63,CS001,67,CS002,61,3,63.67,0
2024001021,钟华,stu021,计算机科学与技术,1,MATH001,84,CS001,81,CS002,88,3,84.33,0
2024001022,钱程,stu022,计算机科学与技术(师范),1,MATH001,73,CS001,79,CS002,76,3,76.00,0
2024001023,田雨,stu023,人工智能,1,MATH001,91,CS001,89,CS002,94,3,91.33,0
2024001024,苏梅,stu024,数字媒体,1,MATH001,67,CS001,64,CS002,69,3,66.67,0
2024001025,冯健,stu025,计算机科学与技术,1,MATH001,82,CS001,85,CS002,80,3,82.33,0
2024001026,曾敏,stu026,计算机科学与技术(师范),1,MATH001,75,CS001,78,CS002,73,3,75.33,0
2024001027,彭博,stu027,人工智能,1,MATH001,88,CS001,84,CS002,91,3,87.67,0
2024001028,蒋雯,stu028,数字媒体,1,MATH001,59,CS001,63,CS002,57,3,59.67,0
2024001029,蔡阳,stu029,计算机科学与技术,1,MATH001,93,CS001,90,CS002,96,3,93.00,0
2024001030,余磊,stu030,计算机科学与技术(师范),1,MATH001,70,CS001,75,CS002,72,3,72.33,0
2024001031,杜威,stu031,人工智能,2,MATH001,81,CS001,77,CS002,83,3,80.33,0
2024001032,叶婷,stu032,数字媒体,2,MATH001,64,CS001,66,CS002,62,3,64.00,0
2024001033,程峰,stu033,计算机科学与技术,2,MATH001,89,CS001,86,CS002,92,3,89.00,0
2024001034,沈洁,stu034,计算机科学与技术(师范),2,MATH001,74,CS001,80,CS002,77,3,77.00,0
2024001035,韩雪,stu035,人工智能,2,MATH001,96,CS001,93,CS002,98,3,95.67,0
2024001036,邓超,stu036,数字媒体,2,MATH001,62,CS001,65,CS002,60,3,62.33,0
2024001037,曹阳,stu037,计算机科学与技术,2,MATH001,86,CS001,83,CS002,90,3,86.33,0
2024001038,袁媛,stu038,计算机科学与技术(师范),2,MATH001,71,CS001,74,CS002,69,3,71.33,0
2024001039,潘越,stu039,人工智能,2,MATH001,83,CS001,87,CS002,80,3,83.33,0
2024001040,范明,stu040,数字媒体,2,MATH001,57,CS001,61,CS002,55,3,57.67,0
2024001041,江涛,stu041,计算机科学与技术,2,MATH001,92,CS001,89,CS002,95,3,92.00,0
2024001042,卢静,stu042,计算机科学与技术(师范),2,MATH001,76,CS001,72,CS002,78,3,75.33,0
2024001043,魏佳,stu043,人工智能,2,MATH001,69,CS001,73,CS002,67,3,69.67,0
2024001044,廖凡,stu044,数字媒体,2,MATH001,80,CS001,76,CS002,83,3,79.67,0
